rid,employer_name,verdict,organisation,address,city,state,zip,source_name,source_url,note
28,ADELPHI DATA INC,home_based,"Adelphi Data, Inc. (national-security AI startup)",,MCLEAN,VA,22101,"SEC EDGAR filer record (Form D, Sep 2025)",https://data.sec.gov/submissions/CIK0002085885.json,"The startup's only filed address (SEC Form D) is on a residential street in McLean, and LinkedIn gives only 'New York, NY'. No public office exists."
29,ADH,corrected,Allied Digestive Health - Shore Gastroenterology Associates (Oakhurst office),"1907 Highway 35, Suite 1",OAKHURST,NJ,07755,Allied Digestive Health contact page; CMS NPI record,https://adhgi.com/contact-us/,"The published Little Rock address is the Arkansas Dept of Health, which is wrong. The donor is a gastroenterologist whose NPI location, 1907 Highway 35 Suite 1, Oakhurst, is Allied Digestive Health's Shore Gastroenterology office."
30,ADT,correct,ADT Inc. (corporate HQ),1501 Yamato Road,BOCA RATON,FL,33431,SEC EDGAR filer record for ADT Inc.,https://data.sec.gov/submissions/CIK0001703056.json,"The HQ is right, but ADT's SEC business address is 1501 Yamato Road, Boca Raton 33431, without the published 'Ste 100'."
31,ADVANCED MEDICAL TRANSPORT,corrected,"Advanced Medical Transport of Central Illinois (nonprofit EMS, Peoria)",1718 North Sterling Ave.,PEORIA,IL,61604,AMT official website,https://amtci.org/,"The donor is AMT's longtime CEO. The official site lists 1718 North Sterling Ave., Peoria, and the published Miramar FL address belongs to an unrelated Florida company."
32,ADVANCED NUTRITION,corrected,Advanced Nutrients (hydroponic fertilizer company),"8687 Melrose Ave, Suite G320",WEST HOLLYWOOD,CA,90069,Advanced Nutrients contact page,https://www.advancednutrients.com/contact/,"The occupation 'fertilizer' and the LA filing point to Advanced Nutrients, whose head office is 8687 Melrose Ave Suite G320, West Hollywood. The published Virginia Beach address is an unrelated nutrition practice."
33,ADVECTION GROWTH CAPITAL,correct,Advection Growth Capital LLC (merchant bank),320 Park Avenue,NEW YORK,NY,10022,Advection Growth Capital contact page,https://www.advectioncap.com/contact,"The donor is listed as a partner on the firm's team page. The contact page gives 320 Park Avenue, New York, NY 10022 with no floor, so the published FL 22 cannot be confirmed."
34,ADVENTIST,corrected,Adventist Health Portland (medical center),10123 SE Market Street,PORTLAND,OR,97216,Adventist Health Portland location page; CMS NPI record,https://www.adventisthealth.org/portland/locations/adventist-health-portland/,"The physician's NPI lists 10123 SE Market St, Portland, which is Adventist Health Portland. The published Silver Spring MD address is the Seventh-day Adventist church HQ."
35,ADVISOR PERSPECTIVES INC,correct,VettaFi LLC (owner of Advisor Perspectives),"225 Liberty St, Suite 2310",NEW YORK,NY,10281,Advisor Perspectives contact page,https://www.advisorperspectives.com/contact,"Advisor Perspectives is now part of VettaFi. Its contact page gives VettaFi LLC, 225 Liberty St, Suite 2310, NY 10281, matching the published address."
36,ADVOCATE LLP,correct,"Advocate, LLP (law firm)","805 3rd Ave, Room 2030",NEW YORK,NY,10022,NY OCA attorney registration via OpenData NY,https://opendatany.com/attorney.php?id=2673549,"The NY attorney registry lists the donor's employer as Advocate, LLP at 805 3rd Ave Rm 2030, New York 10022, the same office as its other attorneys."
37,AEIG,correct,"American European Insurance Group, Inc.","2250 Chapel Avenue West, Suite 200",CHERRY HILL,NJ,08002,AEIG contact page,https://www.aeiginsurance.com/contact/,"AEIG's contact page gives 2250 Chapel Avenue West, Suite 200, Cherry Hill. It says it also has a New York office but publishes only a Hicksville PO box for it."
38,AEPI FOUNDATION,corrected,Alpha Epsilon Pi Foundation Inc,"8910 Purdue Rd, Suite 730",INDIANAPOLIS,IN,46268,GuideStar/Candid profile EIN 13-6141078,https://www.guidestar.org/profile/13-6141078,"GuideStar (from IRS data) gives the Foundation's main and physical address as 8910 Purdue Rd Ste 730, and lists the fraternity there too. The old 8815 Wesleyan Rd building is shown only as a secondary address."
39,AEROSTRAT,correct,Aerostrat Corp. (aircraft maintenance planning software; acquired by AAR in 2025),"999 3rd Ave, Suite 700",SEATTLE,WA,98104,Aerostrat Software contact/about pages,https://aerostratsoftware.com/contact/,"The donor appears on Aerostrat's team page (previous employer of a retired donor). The company site lists 999 3rd Ave, Suite 700, Seattle."
40,AFFILIATED ANESTHESIOLOGISTS,not_found,"Affiliated Anesthesiologist(s) Ltd (Michigan-area group, location unconfirmed)",,,,,ZoomInfo / US News profile summaries,https://health.usnews.com/doctors/philip-wolok-506794,"The donor's whole career is in Michigan (Livonia/Ann Arbor). The published Oklahoma City group has no link to them, and no public office could be found for the 'Affiliated Anesthesiologist Ltd' named in their past-employer listing."
41,AFFILIATED DERM,corrected,"Affiliated Dermatologists and Dermatologic Surgeons (now Epiphany Dermatology), Morristown NJ","182 South Street, Suites 1 & 3",MORRISTOWN,NJ,07960,Epiphany Dermatology Morristown location page,https://www.epiphanydermatology.com/location/morristown-nj/,"The donor is a Morristown NJ dermatologist with Affiliated Dermatologists, which is now part of Epiphany Dermatology at 182 South St. The published Scottsdale AZ 'Affiliated Dermatology' is a different company."
42,AFIPO,correct,American Friends of the Israel Philharmonic Orchestra,"122 East 42nd Street, Suite 4507",NEW YORK,NY,10168,AFIPO About page,https://afipo.org/about-afipo/,"AFIPO's own site gives its only (national) office as 122 E 42nd St Suite 4507, which matches the published address; the donor is its former CEO."
43,AGDS,corrected,Aesthetic and General Dermatology of Seattle (Dermatology of Seattle & Bellevue),13610 1st Ave S,BURIEN,WA,98168,Dermatology of Seattle official site,https://dermatologyseattle.com/,AGDS is the donor's Burien dermatology practice (Aesthetic and General Dermatology of Seattle). The published Bemidji MN address belongs to an unrelated company.
44,AGP,corrected,Asymmetric Growth Partners,"2995 Woodside Road, Ste 400-133",WOODSIDE,CA,94062,LinkedIn company page,https://www.linkedin.com/company/asymmetric-growth-partners,"The donor is Managing Partner (GP) of Asymmetric Growth Partners, a small Woodside CA private-investment firm. The published Omaha address is Ag Processing Inc, an unrelated company."
45,AHARONI LAW,home_based,Aharoni Law Firm,,NEW YORK,NY,10025,Aharoni Law Firm contact page,https://aharonilaw.com/contact-us/,"This is a one-lawyer firm. The New York office that fits the NY-based founder is a unit in a residential apartment building, and the published Beverly Hills address is an executive-suite listing, so only the NY city and ZIP are given."
46,AI EDUCATION LLC,correct,"AI Education, LLC (owner of American Institute career schools)",9309 N. Florida Ave.,TAMPA,FL,33612,American Institute student catalog (PDF),https://www.americaninstitute.edu/wp-content/uploads/American-Institute-Catalog-V1.3web.pdf,"The school catalog says American Institute is owned by AI Education, LLC at 9309 N. Florida Ave, Tampa, which matches the published address. The campuses are in NJ and CT only."
47,AIQ,ambiguous,"Unresolved: ActionIQ (NYC, now part of Uniphore) vs AIQ/Alpine IQ (Broomfield CO)",,,,,Uniphore contact page; donor's professional profile summaries,https://www.uniphore.com/contact/,"The NY donor's work history includes ActionIQ, often shortened to AIQ, which has since been folded into Uniphore. The published Broomfield CO private mailbox belongs to a different AIQ, and nothing confirms which one the 2022 filing meant."
48,AJA,corrected,Atlanta Jewish Academy,5200 Northland Drive,ATLANTA,GA,30342,Atlanta Jewish Academy official site,https://www.atljewishacademy.org/,"The donor is the college counselor at Atlanta Jewish Academy. The published Grass Valley CA address is AJA Video Systems, an unrelated company."
49,AKF PROPERTIES,home_based,Adeena Karsseboom Fitterman Properties (AKF Properties),,SANTA MONICA,CA,90403,California SOS filing data via bizprofile.net,https://www.bizprofile.net/ca/santa-monica/adeena-karsseboom-fitterman-properties,"This is the owner's one-person real-estate corporation, registered at a residential Santa Monica address. The published Macungie PA address is unrelated."
50,ALASKA IMAGING ASSOCIATES,corrected,"Alaska Imaging Associates, LLC (Alaska Imaging)","2751 DeBarr Road, Suite 360",ANCHORAGE,AK,99508,Alaska Imaging contact page,https://www.alaskaimaging.com/contact/,"The donor is listed on Alaska Imaging's radiologist team page. The practice's own contact page gives 2751 DeBarr Rd Suite 360, not the published Providence Dr address."
51,ALCHEMIST,not_found,Alchemist Ventures (venture studio founded by the donor and a sibling),,,,,Alchemist Ventures website,https://www.alchemistventures.com/,"The venture studio's site lists only an email address and no office. The published Miami private-mailbox address is not tied to it, and the only Florida 'Alchemist Ventures LLC' on the state register is an inactive entity with other managers."
52,ALCO PRODUCTS,corrected,"Alco Products Inc. (exterior remodeling, DC/MD/VA)",4921 Wyaconda Road,NORTH BETHESDA,MD,20852,Alco Products Inc. contact page,https://www.alcoproductsinc.com/contact-us,"A Bethesda remodeling and marketing donor fits Alco Products Inc., the North Bethesda exterior remodeler. The published Detroit address is ALCO Products LLC, a roofing-materials maker."
53,ALISHA LEVIN MEMORIAL FUND,correct,Alisha C. Levin Memorial Fund (administered at the Philadelphia Foundation),"1835 Market Street, Suite 2410",PHILADELPHIA,PA,19103,Philadelphia Foundation contact page,https://www.philafound.org/contact/,"Directory listings put the fund at 1835 Market St Suite 2410, which is the Philadelphia Foundation's current office per its own contact page."
54,ALISTAR RESOURCES,correct,"Alistar Resources, LLC",41 Notre Dame Lane,UTICA,NY,13502,NY Department of State entity record (DOS ID 4160075); Zolidar profile,https://zolidar.com/grid/organization/alistar-resources-capitalprovider-clS78c,"This private-equity firm, run by the donor as CEO, is registered and listed at 41 Notre Dame Lane, a multi-tenant commercial building in Utica, which matches the published address."
55,ALIYA HEALTH GROUP,correct,Aliya Health Group,1590 S. Congress Avenue,WEST PALM BEACH,FL,33406,LinkedIn company page,https://www.linkedin.com/company/aliya-health-group,"The company gives its headquarters as 1590 S Congress Ave, West Palm Beach 33406, the same street as published but with the city it uses. Its press releases carry a Pittsburgh dateline, but no Pittsburgh office address is published."
56,ALJ REGIONAL,correct,"ALJ Regional Holdings, Inc.","244 Madison Avenue, PMB #358",NEW YORK,NY,10016,SEC EDGAR company record (CIK 1438731),https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001438731&type=&dateb=&owner=include&count=40,"SEC EDGAR lists ALJ Regional Holdings' business and mailing address as 244 Madison Ave PMB #358, which matches. The company deregistered in 2022, and the donor was its chairman and CEO."
57,ALL PACKAGING CO,corrected,"All Packaging Company (Aurora, CO)",14806 E 33rd Place,AURORA,CO,80011,BBB business profile,https://www.bbb.org/us/co/aurora/profile/packaging-service/all-packaging-company-1296-6000497/,"The retired Colorado donor led All Packaging Company, a paperboard carton maker in Aurora CO. The published Lenexa KS address is wrong."
58,ALL POINT,corrected,"All Point Financial, Inc. (d/b/a APF Advisory Services)","3435 Ocean Park Blvd., Suite 107-211",SANTA MONICA,CA,90405,APF Advisory Services contact page,https://www.apfadvisory.com/contact,"The donor is president of All Point Financial / APF Advisory Services in the LA area, whose site gives this Santa Monica address. The published Atlanta address is unrelated."
59,ALL SET HOSPITALITY LLC,correct,All Set Restaurant & Bar (All Set Hospitality LLC),"8630 Fenton Street, Plaza 5",SILVER SPRING,MD,20910,All Set Restaurant & Bar official site,https://www.allsetrestaurant.com/,"The restaurant is still operating at 8630 Fenton St in downtown Silver Spring, matching the published address (the site adds 'Plaza 5')."
60,ALL STAR SPORTS,ambiguous,Unresolved Missouri 'All Star Sports' business,,,,,Missouri SOS business entity search,https://bsd.sos.mo.gov/BusinessEntity/BESearch.aspx?SearchType=0,"Missouri has many active 'All Star Sports' entities (e.g. All Star Sports 1980 LLC, All Star Sports and Fitness, All Star Sports Center LLC) and nothing ties the St. Louis owner to one of them. The published Florence SC business has no link."
61,ALLADAPT IMMUNOTHERAPEUTICS,corrected,"Alladapt Immunotherapeutics, Inc.",611 Santa Cruz Ave,MENLO PARK,CA,94025,LinkedIn company page,https://www.linkedin.com/company/alladapt,"The company gives its headquarters as 611 Santa Cruz Ave, Menlo Park. The published 405 El Camino Real #611 is a mailbox-style address, and alladapt.com did not load, so the company may be winding down."
62,ALLEGIANCE STAFFING,corrected,"Allegiance Staffing, Sumner WA branch",13704 24th St E,SUMNER,WA,98390,Allegiance Staffing locations page,https://www.allegiancestaffing.com/agency-locations/,"Allegiance Staffing runs a Sumner WA branch serving Sumner, Bellevue and nearby cities, which matches both WA donors, instead of the published Spring TX address."
63,ALLEGIANTMD,correct,"AllegiantMD (radiology group acquired by Sheridan/Envision in 2016), now Envision Healthcare","20 Burton Hills Blvd, Suite 300",NASHVILLE,TN,37215,Envision Healthcare contact page,https://www.envisionhealth.com/contact,"AllegiantMD, a physician-owned Florida radiology group, was absorbed into Envision. The published address is Envision's current headquarters, which fits the parent-company policy for this retired donor."
64,ALLEN DEV,not_found,Unidentified 'Allen' development company (Columbus OH area),,,,,,,"The employer looks like the retired Columbus donor's own family development firm. No public record links it to the published Pasadena CA office, and the Ohio business registry was down for maintenance."
65,ALLIANCE BERNSTEIN,correct,AllianceBernstein,501 Commerce Street,NASHVILLE,TN,37203,AllianceBernstein contact page,https://www.alliancebernstein.com/corporate/en/contact-us.html,"AB's contact page lists 501 Commerce St, Nashville as global headquarters. Headquarters is the right choice because the two donors are in different metros (Austin, and Harrison NY)."
66,ALLIANT INSURANCE SERVICES,corrected,Alliant Insurance Services,"18100 Von Karman Ave., 10th Floor",IRVINE,CA,92612,Alliant office locations page,https://alliant.com/about/office-locations/,"The donors are in different metros (Highland Park IL and North Bethesda MD), so the Irvine headquarters is given instead of the published San Diego branch, which has also moved from Suite 400 to the 6th floor."
67,ALPA,correct,"Air Line Pilots Association, International","7950 Jones Branch Drive, Suite 400S",MCLEAN,VA,22102,ALPA Contact ALPA Offices page,https://www.alpa.org/about/contact-alpa-offices,"ALPA's own offices page gives its headquarters as 7950 Jones Branch Dr Suite 400S, McLean, which matches; this is the DC-area HQ for a Bethesda-based lawyer."
68,ALPAC,not_found,Unidentified 'ALPAC',,,,,,,"No organisation called ALPAC could be tied to this retired Houston donor. The published Ann Arbor address looks residential and has no source, so it should not be published."
69,ALPHA EPSILON PI FRATERNITY FOUNDATION,corrected,"Alpha Epsilon Pi Foundation, Inc.","8910 Purdue Road, Suite 730",INDIANAPOLIS,IN,46268,IRS Form 990 (FY ending May 2025) via ProPublica Nonprofit Explorer,https://projects.propublica.org/nonprofits/organizations/136141078/202601889349300610/full,"The foundation's latest Form 990 gives its address as 8910 Purdue Road, Suite 730, Indianapolis. The preserved Los Angeles Pico Blvd address is wrong."
70,ALTER TRADING,corrected,"Alter Trading Corporation, North Little Rock AR facility",4500 W. Bethany Rd,NORTH LITTLE ROCK,AR,72117,Alter Trading locations page,https://www.altertrading.com/#/locations,"Alter (headquarters 700 Office Parkway, St. Louis) has a North Little Rock facility, which is the office in the Little Rock trader's metro."
71,ALTRIA,correct,"Altria Group, Inc.",6601 West Broad Street,RICHMOND,VA,23230,Altria contact page,https://www.altria.com/contact-us,Altria's contact page confirms the Richmond headquarters address. No Massachusetts office exists for the Needham-based government-affairs donor.
72,ALUMNI VENTURES,correct,Alumni Ventures,"670 N. Commercial Street, Suite 403",MANCHESTER,NH,03101,Alumni Ventures official site,https://www.av.vc/,"Alumni Ventures' site footer gives 670 N. Commercial St, Suite 403, Manchester NH, matching the published address."
73,ALZHEIMER'S ASSOCIATION,corrected,"Alzheimer's Association, Southeast Florida Chapter","100 W. Cypress Creek Rd., Suite 1046",FORT LAUDERDALE,FL,33309,Alzheimer's Association Southeast Florida Chapter about page,https://www.alz.org/seflorida/about,"The Hallandale Beach donor falls within the Southeast Florida Chapter, headquartered in Fort Lauderdale. The national headquarters at 225 N Michigan Ave Fl 17, Chicago, is also confirmed on the same page."
74,AMERICAN BANKERS ASSOCIATION,corrected,American Bankers Association,1333 New Hampshire Ave NW,WASHINGTON,DC,20036,ABA Banking Journal site footer,https://bankingjournal.aba.com/,ABA's current headquarters is 1333 New Hampshire Ave NW. The published 1120 Connecticut Ave NW is its former building.
75,AMERICAN COMB CORP,correct,American Comb (family-owned comb manufacturer),22 Kentucky Ave,PATERSON,NJ,07503,American Comb official site,https://www.americancomb.com/,"American Comb's site gives its headquarters as 22 Kentucky Ave, Paterson NJ, in the NYC metro, which matches the published address."
76,AMERICAN FIRE RESTORATION LLC,correct,"American Fire Restoration, LLC",71-02 80th Street,GLENDALE,NY,11385,NY Department of State entity record (DOS ID 2507026),https://apps.dos.ny.gov/publicInquiry/,"The active NY LLC (formed 2000, Queens) has 71-02 80th St, Glendale as its registered service-of-process address, which matches. This is lower confidence because no other office is published and the company domain is for sale."
77,AMERICAN HOSPITAL ASSOCIATION,corrected,"American Hospital Association, Washington DC office","800 10th Street, NW, Two CityCenter, Suite 400",WASHINGTON,DC,20001,AHA contact page,https://www.aha.org/contact-us,AHA's Washington office is the nearest AHA office for this Maryland-based attorney. Suite 400 belongs to the DC office; the contact page gives the Chicago headquarters as just 155 N. Wacker Dr.
78,AMERICAN INDUSTRIAL PARTNERS,corrected,American Industrial Partners,"450 Lexington Ave, 40th Floor",NEW YORK,NY,10017,American Industrial Partners official site,https://www.americanindustrial.com/,"AIP's site and Wikipedia both give 450 Lexington Ave, 40th Floor as its New York headquarters, not the published 712 Fifth Ave, and no other office is listed."
79,AMERICAN JEWISH MEDICAL ASSOCIATION,not_found,"American Jewish Medical Association (AJMA, EIN 93-4844109)",,,,,ProPublica Nonprofit Explorer (IRS BMF) + theajma.org,https://projects.propublica.org/nonprofits/organizations/934844109,"The published 2108 N St Ste N Sacramento is the Northwest Registered Agent mail address on the IRS record (c/o the founder), not an office; the website gives only an email, directories show a Fairfax VA PO Box, and no physical office is public."
80,AMERICAN TECHNION SOCIETY,corrected,American Technion Society (national headquarters),55 East 59th Street,New York,NY,10022,ats.org New York location page,https://ats.org/location/new-york/,"ATS now lists its national office at 55 East 59th Street, so 600 Third Ave is out of date; donors are a national development officer and a Southern California regional director (Beverly Hills office at 501 S Beverly Dr Ste 200)."
81,AMERICAN TECHNOLOGY SERVICES,corrected,"American Technology Services, LLC (New York office)","250 Broadway, Suite 610",New York,NY,10007,networkats.com contact page,https://networkats.com/support/contact/,"ATS has offices in New York, Fairfax VA and Atlanta; the Queens-based president fits the New York office better than the published Fairfax office."
82,AMG,corrected,AMG Texas Capital (Houston commercial real estate lender),"100 Glenborough Dr, Suite 1000",Houston,TX,77067,amgtexascapital.com contact,https://amgtexascapital.com/,"The Houston management donor is AMG Texas Capital's listed contact (same Glenborough Tower suite as his other employer, VSC Management); the West Palm Beach address belongs to Affiliated Managers Group, a different company."
83,AMHERST,correct,The Amherst Group LLC (headquarters),"401 Congress Ave, 33rd Floor",Austin,TX,78701,amherst.com contact page,https://www.amherst.com/contact/,"The donor is litigation counsel at The Amherst Group; Amherst has no Charlotte office (only Austin and New York), so the Austin Frost Bank Tower headquarters is right."
