kind,name_a,uses_a,name_b,uses_b,question
token_prefix_pair,CROKE FAIRCHILD,2,CROKE FAIRCHILD DUARTE & BERES,1,"same company? if yes, which spelling wins"
token_prefix_pair,DENTAL OFFICE,2,THE DENTAL OFFICE AT CHESTNUT HILL,8,"same company? if yes, which spelling wins"
token_prefix_pair,ENT & ALLERGY,2,ENT AND ALLERGY OF DELAWARE,11,"same company? if yes, which spelling wins"
token_prefix_pair,ERNST & YOUNG,62,ERNST & YOUNG U.S,1,"same company? if yes, which spelling wins"
token_prefix_pair,FAMILY MANAGEMENT CORP,4,FAMILY MANAGEMENT OF FLORIDA,12,"same company? if yes, which spelling wins"
token_prefix_pair,FIRST AMERICAN TITLE,24,FIRST AMERICAN TITLE INSURANCE,1,"same company? if yes, which spelling wins"
token_prefix_pair,FIRST REPUBLIC,8,FIRST REPUBLIC BANK,1,"same company? if yes, which spelling wins"
token_prefix_pair,FIRST REPUBLIC,8,FIRST REPUBLIC PRIVATE WEALTH MANAGEMENT,10,"same company? if yes, which spelling wins"
token_prefix_pair,FOCUS PARTNERS,1,FOCUS PARTNERS WEALTH,6,"same company? if yes, which spelling wins"
token_prefix_pair,GLANCY PRONGAY,3,GLANCY PRONGAY & MURRAY LLP,2,"same company? if yes, which spelling wins"
token_prefix_pair,GLASER WEIL LLP,76,GLASER WEIL ET AL,1,"same company? if yes, which spelling wins"
token_prefix_pair,GLASS GARDENS INC,5,GLASS GARDENS SHOPRITES,31,"same company? if yes, which spelling wins"
token_prefix_pair,GOLDEN MOUNTAIN,1,GOLDEN MOUNTAIN MANAGEMENT LLC,1,"same company? if yes, which spelling wins"
token_prefix_pair,GORDON & REES,1,GORDON REES SCULLY MANSUKHANI,6,"same company? if yes, which spelling wins"
token_prefix_pair,GROUP 1001,1,GROUP 1001 RESOURCES LLC,3,"same company? if yes, which spelling wins"
token_prefix_pair,HANGLEY ARONCHICK,10,"HANGLEY ARONCHICK SEGAL PUDLIN & SCHILLER, P.C",4,"same company? if yes, which spelling wins"
token_prefix_pair,HARBERG HUVARD LLP,17,HARBERG HUVARD JACOBS WADLER LLP,13,"same company? if yes, which spelling wins"
token_prefix_pair,HARTFORD HEALTHCARE,1,HARTFORD HEALTHCARE MEDICAL GROUP,10,"same company? if yes, which spelling wins"
token_prefix_pair,HESCHEL SCHOOL,4,"THE HESCHEL SCHOOL, NY",2,"same company? if yes, which spelling wins"
token_prefix_pair,HIGHLAND CAPITAL,21,HIGHLAND CAPITAL MANAGEMENT LLC,1,"same company? if yes, which spelling wins"
token_prefix_pair,HILLEL ACADEMY,2,HILLEL ACADEMY OF DAYTON,1,"same company? if yes, which spelling wins"
token_prefix_pair,HILLEL ACADEMY,2,HILLEL ACADEMY OF PITTSBURGH,1,"same company? if yes, which spelling wins"
token_prefix_pair,HOWARD AND HOWARD,1,HOWARD AND HOWARD ATTORNEYS PLLC,1,"same company? if yes, which spelling wins"
token_prefix_pair,INTERNATIONAL WINE,2,INTERNATIONAL WINE VAULT LLC,2,"same company? if yes, which spelling wins"
token_prefix_pair,ISRAEL ON CAMPUS COALITION,2,ISRAEL ON CAMPUS COALITION OF GREATER,10,"same company? if yes, which spelling wins"
token_prefix_pair,JEWISH FEDERATION,49,JEWISH FEDERATION OF CLEVELAND,6,"same company? if yes, which spelling wins"
token_prefix_pair,JEWISH FEDERATION,49,JEWISH FEDERATION OF GREATER CHARLOTTE,15,"same company? if yes, which spelling wins"
token_prefix_pair,JEWISH FEDERATION,49,JEWISH FEDERATION OF GREATER FAIRFIELD,2,"same company? if yes, which spelling wins"
token_prefix_pair,JEWISH FEDERATION,49,JEWISH FEDERATION OF GREATER HOUSTON,1,"same company? if yes, which spelling wins"
token_prefix_pair,JEWISH FEDERATION,49,JEWISH FEDERATION OF GREATER NEW ORLEANS,1,"same company? if yes, which spelling wins"
token_prefix_pair,JEWISH FEDERATION,49,JEWISH FEDERATION OF GREATER NH,12,"same company? if yes, which spelling wins"
token_prefix_pair,JEWISH FEDERATION,49,JEWISH FEDERATION OF GREATER PHILADELPHIA,2,"same company? if yes, which spelling wins"
token_prefix_pair,JEWISH FEDERATION,49,JEWISH FEDERATION OF GREATER PITTSBURGH,1,"same company? if yes, which spelling wins"
token_prefix_pair,JEWISH FEDERATION,49,JEWISH FEDERATION OF METROPOLITAN DETR,7,"same company? if yes, which spelling wins"
token_prefix_pair,JEWISH FEDERATION,49,JEWISH FEDERATION OF NORTH NEW JERSEY,4,"same company? if yes, which spelling wins"
token_prefix_pair,JEWISH FEDERATION,49,JEWISH FEDERATION OF NORTHERN NEW JERSEY,1,"same company? if yes, which spelling wins"
token_prefix_pair,JEWISH FEDERATION,49,JEWISH FEDERATION OF OCEAN COUNTY,3,"same company? if yes, which spelling wins"
token_prefix_pair,JEWISH FEDERATION,49,JEWISH FEDERATION OF ST. LOUIS,1,"same company? if yes, which spelling wins"
token_prefix_pair,JEWISH FEDERATION,49,JEWISH FEDERATION OF TULSA,2,"same company? if yes, which spelling wins"
token_prefix_pair,JEWISH FEDERATION,49,JEWISH FEDERATION OF WEST-CENTRAL NJ,1,"same company? if yes, which spelling wins"
token_prefix_pair,JEWISH LINK,1,THE JEWISH LINK MEDIA GROUP,1,"same company? if yes, which spelling wins"
token_prefix_pair,JOHNS HOPKINS,1,JOHNS HOPKINS UNIVERSITY,2,"same company? if yes, which spelling wins"
token_prefix_pair,JOHNS HOPKINS,1,JOHNS HOPKINS UNIVERSITY APPLIED PHYSICS LABORATORY,3,"same company? if yes, which spelling wins"
token_prefix_pair,JOHNS HOPKINS UNIVERSITY,2,JOHNS HOPKINS UNIVERSITY APPLIED PHYSICS LABORATORY,3,"same company? if yes, which spelling wins"
token_prefix_pair,K&R,1,K&R PRESERVATION,3,"same company? if yes, which spelling wins"
token_prefix_pair,KENNEDY WILSON,2,KENNEDY WILSON MULTIFAMILY,1,"same company? if yes, which spelling wins"
token_prefix_pair,L&J,2,L. & J. ASSOCIATES,2,"same company? if yes, which spelling wins"
token_prefix_pair,LEEDS HOLDINGS S,2,LEEDS HOLDINGS S/E INC,6,"same company? if yes, which spelling wins"
token_prefix_pair,LONG AND FOSTER,11,LONG & FOSTER REALTORS,1,"same company? if yes, which spelling wins"
token_prefix_pair,LOVELL SAFETY,4,LOVELL SAFETY MANAGEMENT CO. LLC,9,"same company? if yes, which spelling wins"
token_prefix_pair,LYNN PINKER,4,LYNN PINKER HURST SCHWEGMANN,24,"same company? if yes, which spelling wins"
token_prefix_pair,M/I HOMES INC,1,M/I HOMES OF CENTRAL OHIO,1,"same company? if yes, which spelling wins"
token_prefix_pair,MALLERY & STERN,1,"MALLERY & STERN, LAW CORP",7,"same company? if yes, which spelling wins"
token_prefix_pair,MANATT PHELPS,1,MANATT PHELPS & PHILLIPS,2,"same company? if yes, which spelling wins"
token_prefix_pair,MERRILL LYNCH,112,MERRILL LYNCH WEALTH MANAGEMENT,21,"same company? if yes, which spelling wins"
token_prefix_pair,MERRILL LYNCH,112,MERRILL LYNCH/BANK OF AMERICA,13,"same company? if yes, which spelling wins"
token_prefix_pair,MILLER ROSNICK,1,MILLER ROSNICK D'AMICO AUGUST & BUTLER,6,"same company? if yes, which spelling wins"
token_prefix_pair,MORGAN LEWIS,32,MORGAN LEWIS AND BOCKIUS,21,"same company? if yes, which spelling wins"
token_prefix_pair,MORGAN STANLEY,358,MORGAN STANLEY SMITH BARNEY,25,"same company? if yes, which spelling wins"
token_prefix_pair,MOUNT SINAI MEDICAL CENTER,3,MOUNT SINAI MEDICAL CENTER (MIAMI BEACH),5,"same company? if yes, which spelling wins"
token_prefix_pair,MT SINAI,14,MT. SINAI HEALTH SYSTEM,2,"same company? if yes, which spelling wins"
token_prefix_pair,MT SINAI,14,MT. SINAI ICAHN SCHOOL OF MEDICINE,4,"same company? if yes, which spelling wins"
token_prefix_pair,NEW YORK CITY,20,NEW YORK CITY DEPARTMENT OF EDUCATION,1,"same company? if yes, which spelling wins"
token_prefix_pair,NEW YORK CITY,20,NEW YORK CITY HOUSING AUTHORITY,1,"same company? if yes, which spelling wins"
token_prefix_pair,NEW YORK ISLANDERS,2,NEW YORK ISLANDERS HOCKEY CLUB,10,"same company? if yes, which spelling wins"
token_prefix_pair,NEW YORK STATE,2,NEW YORK STATE SENATE,1,"same company? if yes, which spelling wins"
token_prefix_pair,NON PROFIT,1,NON PROFIT FOUNDATION DLP,2,"same company? if yes, which spelling wins"
token_prefix_pair,NON PROFIT,1,NON-PROFIT VOLUNTEER,8,"same company? if yes, which spelling wins"
token_prefix_pair,NYU LANGONE,9,NYU LANGONE BROOKLYN,3,"same company? if yes, which spelling wins"
token_prefix_pair,NYU LANGONE,9,NYU LANGONE HEALTH,3,"same company? if yes, which spelling wins"
token_prefix_pair,NYU LANGONE,9,NYU LANGONE HEALTH HUNTINGTON MEDICAL,20,"same company? if yes, which spelling wins"
token_prefix_pair,NYU LANGONE HEALTH,3,NYU LANGONE HEALTH HUNTINGTON MEDICAL,20,"same company? if yes, which spelling wins"
token_prefix_pair,OBERMAYER REBMANN,23,OBERMAYER REBMANN MAXWELL AND HIPPLE,16,"same company? if yes, which spelling wins"
token_prefix_pair,THE OHIO STATE UNIVERSITY,11,THE OHIO STATE UNIVERSITY MEDICAL CENTER,1,"same company? if yes, which spelling wins"
token_prefix_pair,ORTHOPEDIC CARE,46,ORTHOPEDIC CARE CENTER,1,"same company? if yes, which spelling wins"
token_prefix_pair,PARDES INSTITUTE,1,PARDES INSTITUTE OF JEWISH STUDIES,2,"same company? if yes, which spelling wins"
token_prefix_pair,PILLSBURY WINTHROP,50,PILLSBURY WINTHROP SHAW PITTMAN,1,"same company? if yes, which spelling wins"
token_prefix_pair,PLASTIC SURGERY GROUP,2,PLASTIC SURGERY GROUP OF MEMPHIS,4,"same company? if yes, which spelling wins"
token_prefix_pair,PREMIER DENTAL,1,PREMIER DENTAL PRODUCTS COMPANY,5,"same company? if yes, which spelling wins"
token_prefix_pair,PRO ISRAEL,11,PRO-ISRAEL AMERICA,4,"same company? if yes, which spelling wins"
token_prefix_pair,QUINN EMANUEL,3,QUINN EMANUEL URQUHART & SULLIVAN LLP,7,"same company? if yes, which spelling wins"
token_prefix_pair,RADIOLOGY AND IMAGING INC,9,RADIOLOGY IMAGING ASSOCIATES,2,"same company? if yes, which spelling wins"
token_prefix_pair,RADIOLOGY ASSOCIATES,1,RADIOLOGY ASSOCIATES OF CLEARWATER,2,"same company? if yes, which spelling wins"
token_prefix_pair,RADIOLOGY ASSOCIATES,1,RADIOLOGY ASSOCIATES OF HOLLYWOOD,10,"same company? if yes, which spelling wins"
token_prefix_pair,RATNER STEEL,2,RATNER STEEL SUPPLY CO,1,"same company? if yes, which spelling wins"
token_prefix_pair,RAYMOND JAMES,50,RAYMOND JAMES FINANCIAL,1,"same company? if yes, which spelling wins"
token_prefix_pair,RAYMOUR & FLANIGAN,2,RAYMOUR & FLANIGAN FURNITURE,3,"same company? if yes, which spelling wins"
token_prefix_pair,RICHARDS MANUFACTURING CO,12,RICHARDS MANUFACTURING CO SALES INC,3,"same company? if yes, which spelling wins"
token_prefix_pair,ROLLING HILLS,1,ROLLING HILLS COUNTRY DAY SCHOO,1,"same company? if yes, which spelling wins"
token_prefix_pair,SCHOOL DISTRICT,1,SCHOOL DISTRICT 12,4,"same company? if yes, which spelling wins"
token_prefix_pair,SICHENZIA ROSS,1,SICHENZIA ROSS FERENCE CARMEL LLC,1,"same company? if yes, which spelling wins"
token_prefix_pair,SOLOMON SCHECHTER,1,SOLOMON SCHECHTER SCHOOL,1,"same company? if yes, which spelling wins"
token_prefix_pair,SPEKTOR DENTAL,28,SPEKTOR DENTAL CENTER,1,"same company? if yes, which spelling wins"
token_prefix_pair,ST ANDREWS INC,1,ST. ANDREWS PRESBYTERIAN,5,"same company? if yes, which spelling wins"
token_prefix_pair,ST. LUKE'S,2,ST LUKE'S UNIVERSITY HEALTH NETWORK,2,"same company? if yes, which spelling wins"
token_prefix_pair,STATE STREET,1,STATE STREET CAPITAL PARTNERS,5,"same company? if yes, which spelling wins"
token_prefix_pair,STEARNS WEAVER,4,STEARNS WEAVER MILLER,1,"same company? if yes, which spelling wins"
token_prefix_pair,STONY BROOK,2,STONY BROOK UNIVERSITY,16,"same company? if yes, which spelling wins"
token_prefix_pair,SUMMIT HEALTH,6,SUMMIT HEALTH/ VILLAGEMD,12,"same company? if yes, which spelling wins"
token_prefix_pair,SUNY DOWNSTATE,1,SUNY DOWNSTATE MEDICAL CENTER,1,"same company? if yes, which spelling wins"
token_prefix_pair,SUNY UPSTATE,1,SUNY UPSTATE MEDICAL UNIVERSITY,1,"same company? if yes, which spelling wins"
token_prefix_pair,TEMPLE BETH EL,23,TEMPLE BETH EL KESHET,1,"same company? if yes, which spelling wins"
token_prefix_pair,TEMPLE BETH EL,23,TEMPLE BETH EL MANHATTAN BEACH,1,"same company? if yes, which spelling wins"
token_prefix_pair,TEMPLE ISRAEL,4,TEMPLE ISRAEL OF SHARON,1,"same company? if yes, which spelling wins"
token_prefix_pair,TEMPLE SHALOM,2,TEMPLE SHALOM MEDFORD,1,"same company? if yes, which spelling wins"
token_prefix_pair,TEMPLE SHALOM,2,TEMPLE SHALOM NAPLES,3,"same company? if yes, which spelling wins"
token_prefix_pair,TEMPLE SHALOM,2,TEMPLE SHALOM OF THE SOUTH BAY,3,"same company? if yes, which spelling wins"
token_prefix_pair,TEMPLE SINAI,5,TEMPLE SINAI SUMMIT,9,"same company? if yes, which spelling wins"
token_prefix_pair,TOTAL SOURCE,2,TOTAL SOURCE/GOLDEN SPRINGS,2,"same company? if yes, which spelling wins"
token_prefix_pair,TOWER VENTURES,2,TOWER VENTURES/PARAGON,16,"same company? if yes, which spelling wins"
token_prefix_pair,TRIDENT 1,1,TRIDENT 1 FFL SOFTWARE,1,"same company? if yes, which spelling wins"
token_prefix_pair,UCSF BENIOFF,1,UCSF BENIOFF CHILDREN'S HOSPITAL,2,"same company? if yes, which spelling wins"
token_prefix_pair,UNIVERSITY OF CALIFORNIA,24,"UNIVERSITY OF CALIFORNIA, DAVIS",1,"same company? if yes, which spelling wins"
token_prefix_pair,UNIVERSITY OF COLORADO,5,UNIVERSITY OF COLORADO HOSPITAL,1,"same company? if yes, which spelling wins"
token_prefix_pair,UNIVERSITY OF COLORADO,5,UNIVERSITY OF COLORADO MEDICINE,6,"same company? if yes, which spelling wins"
token_prefix_pair,UNIVERSITY OF ILLINOIS,9,UNIVERSITY OF ILLINOIS AT URBANA-CHAMP,1,"same company? if yes, which spelling wins"
token_prefix_pair,UNIVERSITY OF MICHIGAN,13,UNIVERSITY OF MICHIGAN MEDICAL CENTER,1,"same company? if yes, which spelling wins"
token_prefix_pair,UNIVERSITY OF TEXAS,1,UNIVERSITY OF TEXAS SOUTHWESTERN MEDICAL CENTER,1,"same company? if yes, which spelling wins"
token_prefix_pair,UNIVERSITY OF WASHINGTON,83,UNIVERSITY OF WASHINGTON MEDICAL CENTER,2,"same company? if yes, which spelling wins"
token_prefix_pair,UROLOGY ASSOCIATES,1,UROLOGY ASSOCIATES OF NORWALK,1,"same company? if yes, which spelling wins"
token_prefix_pair,WACHTELL LIPTON,1,"WACHTELL, LIPTON, ROSEN & KATZ",22,"same company? if yes, which spelling wins"
token_prefix_pair,WALNUT RIDGE,5,WALNUT RIDGE STRATEGIC MANAGEMENT,2,"same company? if yes, which spelling wins"
token_prefix_pair,WASHINGTON UNIVERSITY,2,WASHINGTON UNIVERSITY IN ST. LOUIS,19,"same company? if yes, which spelling wins"
token_prefix_pair,WEILL CORNELL,7,WEILL CORNELL MEDICINE,4,"same company? if yes, which spelling wins"
token_prefix_pair,WILLKIE FARR,1,WILLKIE FARR & GALLAGHER LLP,10,"same company? if yes, which spelling wins"
token_prefix_pair,WILSON SONSINI,29,WILSON SONSINI GOODRICH ROSATI,1,"same company? if yes, which spelling wins"
token_prefix_pair,WINDELS MARX,4,WINDELS MARX LANE & MITTENDORF,6,"same company? if yes, which spelling wins"
token_prefix_pair,YALE UNIVERSITY,17,YALE UNIVERSITY SCHOOL OF MEDICINE,2,"same company? if yes, which spelling wins"
token_prefix_pair,YOUNG ISRAEL,1,YOUNG ISRAEL OF SAINT LOUIS,1,"same company? if yes, which spelling wins"
token_prefix_pair,YOUNG ISRAEL,1,YOUNG ISRAEL OF SCARSDALE,1,"same company? if yes, which spelling wins"
acronym_split_donor,USCD,,UCSD + U.S. CABINET DEPOT,,"15 rows are UC San Diego, 4 rows (donor DENBROCK) are U.S. Cabinet Depot — needs a per-donor split, no global rule works"
acronym_uncertain,SIG,,SUSQUEHANNA INTERNATIONAL GROUP,,plausible merge but zero donor overlap and the SUSQUEHANNA row carries a wrong HQ (Pittsburgh; real HQ Bala Cynwyd)
semantic,BUSINESS / COMPANY / PRIVATE COMPANY (as employer),,,,could mean self-employed OR employee of unnamed company — decide policy: SELF-EMPLOYED vs blank
same_city_distinct,MOUNT SINAI MEDICAL CENTER (MIAMI BEACH),,MOUNT SINAI (NY),,"unrelated hospital systems — keep separate; listed so nobody ""fixes"" them later"
