employer_name,decision,expansion,confidence,verified,evidence,why
CATALYST,expand,CATALYST PHYSICIAN GROUP,medium,,https://html.duckduckgo.com/html/?q=Catalyst+Plano+Texas+physician+healthcare+company,"Search confirms Catalyst Physician Group, a physician-owned primary care organization headquartered in Plano TX — matching both the PHYSICIAN occupation and the Plano donor location and Plano resolved HQ. Medium because Catalyst Health Group operates from the same Plano base under a similar name."
CCAC,expand,COMMUNITY COLLEGE OF ALLEGHENY COUNTY,high,,https://en.wikipedia.org/wiki/Community_College_of_Allegheny_County,"TEACHER in Pittsburgh PA; CCAC is the standard abbreviation for the Community College of Allegheny County, whose campuses are in Pittsburgh and Allegheny County — occupation and city both corroborate."
CCF,expand,CLEVELAND CLINIC,medium,,https://en.wikipedia.org/wiki/Cleveland_Clinic,"PHYSICIAN in Beachwood OH, a Cleveland suburb; Wikipedia confirms the institution's legal entity is the Cleveland Clinic Foundation (hence CCF), so location and occupation corroborate, though CCF is a widely reused acronym."
CDPA,expand,CAPITAL DISTRICT PATHOLOGY ASSOCIATES,high,,https://html.duckduckgo.com/html/?q=CDPA+pathology+Slingerlands+Albany+New+York,"Donor is a PATHOLOGIST in Slingerlands NY, an Albany suburb, and Capital District Pathology Associates PLLC is the Albany pathology group at 315 South Manning Blvd — occupation and location both corroborate."
CDPH,expand,CALIFORNIA DEPARTMENT OF PUBLIC HEALTH,high,,"https://www.cdph.ca.gov/ and https://en.wikipedia.org/wiki/California_Department_of_Public_Health — headquartered Sacramento, CA","Sacramento HQ matches; donor lives in Lincoln, CA (Sacramento metro); PHYSICIST fits CDPH's Radiologic Health Branch, which employs health physicists."
CDSD,expand,CENTRAL DAUPHIN SCHOOL DISTRICT,high,,https://www.cdschools.org/our-district,"A SCHOOL PSYCHOLOGIST donor in Harrisburg, PA matches the large suburban Harrisburg district that uses exactly this acronym."
CEDARS,expand,CEDARS-SINAI MEDICAL CENTER,high,,"https://en.wikipedia.org/wiki/Cedars-Sinai_Medical_Center — 919-bed teaching hospital at 8700 Beverly Boulevard, Los Angeles, California","Donor is a PHYSICIAN in LOS ANGELES, CA, which corroborates the LA hospital universally shortened to 'Cedars'."
CES,expand,COOPERATIVE EDUCATIONAL SERVICES,high,,"https://www.cestrumbull.org/ - Cooperative Educational Services, 40 Lindeman Drive, Trumbull CT, RESC serving Fairfield County",Cooperative Educational Services is the Trumbull CT regional education service center; the LIBRARIAN donor in Fairfield CT and the resolved Trumbull CT HQ both corroborate it exactly.
CESJDS,expand,CHARLES E. SMITH JEWISH DAY SCHOOL,high,,https://html.duckduckgo.com/html/?q=CESJDS+Charles+E.+Smith+Jewish+Day+School+Rockville,"CESJDS is the school's own abbreviation for Charles E. Smith Jewish Day School at 1901 East Jefferson St, Rockville MD — matching resolved_hq Rockville and the LANG ARTS SPECIALIST donor in nearby Silver Spring MD."
CFVHS,expand,CAPE FEAR VALLEY HEALTH,medium,,https://webcampus.med.drexel.edu/clinicaleducation/Year3/ClinicalSiteFairCFVHS-2023-2024.pdf and https://www.capefearvalley.com/,"CFVHS is a documented abbreviation for Cape Fear Valley Health System, an 8-hospital North Carolina system; the donor is in Greenville NC, which corroborates the state and region though not the Fayetteville home city specifically."
CHOP,expand,CHILDREN'S HOSPITAL OF PHILADELPHIA,high,,"https://www.chop.edu/about-us - 'Children's Hospital of Philadelphia', 3401 Civic Center Blvd, Philadelphia PA 19104","CHOP.edu confirms CHOP = Children's Hospital of Philadelphia at 3401 Civic Center Blvd, Philadelphia PA; donor is a PHYSICIAN in Philadelphia PA with a Philadelphia resolved_hq - exact corroboration."
CHSLI,expand,CATHOLIC HEALTH SERVICES OF LONG ISLAND,high,,"https://en.wikipedia.org/wiki/Catholic_Health_Services_of_Long_Island — six hospitals on Long Island, ~17,000 employees, sponsored by the Diocese of Rockville Centre (renamed 'Catholic Health' in 2021)","CHSLI is Catholic Health Services of Long Island; a PHYSICIAN donor in Great Neck NY and the Hicksville NY HQ both sit inside its Long Island service area, corroborating it decisively."
CIBC,expand,CIBC BANK USA,medium,,"https://en.wikipedia.org/wiki/CIBC_Bank_USA (HQ 120 S LaSalle St, Chicago)","Chicago HQ pins this to CIBC Bank USA (the former PrivateBank, acquired by Canadian Imperial Bank of Commerce in 2017); managing director / senior counsel / attorney donors fit a commercial bank. 'CIBC Bank USA' is the entity's own public name and reads as a bank."
CITIZENS,expand,CITIZENS BANK,medium,,"https://en.wikipedia.org/wiki/Citizens_Financial_Group — Citizens Financial Group, Inc., headquartered in Providence, Rhode Island, operating under the Citizens Bank brand","Resolved HQ Providence, RI matches Citizens Financial Group exactly and a HOUSTON 'COMMODITY SOLUTIONS' role fits its commodity-hedging desk; medium because bare 'CITIZENS' is a common bank-name element."
CJDS,expand,CHARLOTTE JEWISH DAY SCHOOL,high,,https://www.cjdschool.org/,The school uses CJDS as its own abbreviation on its website; Charlotte NC HQ and both donors (EDUCATION and HOMEMAKER) in Charlotte NC corroborate.
CJFS,expand,COLLAT JEWISH FAMILY SERVICES,high,,"https://cjfsbham.org/ — CJFS = Collat Jewish Family Services, Birmingham, Alabama","Donor is a CARE MANAGER in MOUNTAIN BROOK, AL, a Birmingham suburb, matching this Birmingham social-services agency; its own site confirms the acronym."
CSRPS,expand,CSR PRIVACY SOLUTIONS,high,,"https://csrps.com/about-company/ — CSR Privacy Solutions, Inc., 830 NE Pop Tilton Place, Jensen Beach, FL","Donor is a CEO in Jensen Beach, FL — CSR Privacy Solutions, Inc. is headquartered in Jensen Beach and uses csrps.com as its domain; exact city match on a small firm."
CTCA,expand,CANCER TREATMENT CENTERS OF AMERICA,high,,https://en.wikipedia.org/wiki/Cancer_Treatment_Centers_of_America,"Wikipedia confirms CTCA is Cancer Treatment Centers of America, which operated a Phoenix-area hospital from 2008; the donor is a PHYSICIAN in Paradise Valley AZ, a Phoenix suburb."
CUSM,expand,CREIGHTON UNIVERSITY SCHOOL OF MEDICINE,high,,"DuckDuckGo result set: CUSM = Creighton University School of Medicine, private medical school founded 1892 in Omaha, Nebraska","PHYSICIAN donor located in Omaha NE matches the school's city exactly, ruling out the other CUSM (California University of Science and Medicine)."
D&H,expand,D&H DISTRIBUTING,medium,,"https://www.dandh.com/ — D&H Distributing, technology distributor, Camp Hill PA",Resolved HQ Camp Hill PA matches D&H Distributing's facility exactly; MANAGER occupation is consistent with the distributor.
DCPS,expand,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,high,,"https://en.wikipedia.org/wiki/District_of_Columbia_Public_Schools — official name ""District of Columbia Public Schools"", acronym DCPS, HQ 1200 First Street NE, Washington DC","District of Columbia Public Schools, HQ Washington DC — matches resolved_hq exactly; donor is a SPEECH LANGUAGE PATHOLOGIST in Arlington VA, a DC-metro commuter role that school districts staff."
DDR,expand,DEVELOPERS DIVERSIFIED REALTY,medium,,"Search result confirming DDR Corp = Developers Diversified Realty, headquartered in Beachwood, Ohio","Resolved HQ Beachwood OH matches the REIT exactly; corroboration is HQ-only since the donor is RETIRED, and the firm later traded formally as 'DDR Corp', so medium."
DELTA,expand,DELTA AIR LINES,high,,Atlanta HQ in row + pilot occupation; Delta Air Lines is the Atlanta-headquartered airline,"Atlanta, GA resolved HQ plus a donor occupation of PILOT (PILPT) corroborates the airline, not the many other 'Delta' companies."
DERMIC,expand,DERM INSTITUTE OF CHICAGO,high,,"https://dermic.com/ and https://dermic.com/about/ — Derm Institute of Chicago, multiple Chicago-area dermatology locations","dermic.com is the Derm Institute of Chicago, a Chicago dermatology practice — the donor is a MEDICAL DOCTOR in Chicago IL, which corroborates it exactly, and 'DERMIC' is the domain contraction rather than a public brand a reader would parse."
DESRI,expand,D. E. SHAW RENEWABLE INVESTMENTS,high,,"https://desri.com/contact — DESRI, 575 Fifth Avenue, New York NY",New York NY HQ matches and the POWER/CEO occupations corroborate the renewable energy arm of the D. E. Shaw group.
DOWNSTATE,expand,SUNY DOWNSTATE HEALTH SCIENCES UNIVERSITY,high,,https://www.downstate.edu/,"Official site confirms SUNY Downstate Health Sciences University, 450 Clarkson Ave, Brooklyn, NY; donor is an OPHTHALMOLOGIST in Woodmere, NY (NYC metro) — a bare 'DOWNSTATE' is not readable to a general audience."
DP&F,expand,DICKENSON PEATMAN & FOGARTY,high,,https://dpf-law.com/about/,"Firm site confirms DP&F is Dickenson, Peatman & Fogarty, a California wine-country law firm with Napa and Santa Rosa offices; donor is a LAWYER in Berkeley, CA — occupation and state corroborate. Initials, not a readable founder name, so expansion adds real intelligibility."
DRL,expand,DAPEER ROSENBLIT & LITVAK LLP,medium,,"https://www.drllaw.com/ and https://www.drllaw.com/about/ — Dapeer Rosenblit & Litvak LLP, West Los Angeles real estate/business firm","DRL Law = Dapeer Rosenblit & Litvak LLP, a West Los Angeles firm — the donor is an ATTORNEY in Los Angeles CA, which corroborates it directly. The row's resolved_hq of Washington DC looks like a mis-resolution to the State Department's Bureau of Democracy, Human Rights and Labor, which would not employ an LA attorney."
DTNA,expand,DAIMLER TRUCK NORTH AMERICA,high,,https://en.wikipedia.org/wiki/Daimler_Truck_North_America,"Wikipedia confirms DTNA is Daimler Truck North America LLC, headquartered in Portland, Oregon — exactly matching the resolved HQ, and the ENGINEER occupation fits a truck manufacturer."
DVRA,expand,DELAWARE VALLEY RETINA ASSOCIATES,high,,"https://www.dvra.net/locations/lawrenceville/ — Delaware Valley Retina Associates, 4 Princess Rd, Lawrenceville NJ, uses dvra.net","Donor is a PHYSICIAN in Pennington NJ, a few miles from the practice's Lawrenceville NJ office in Mercer County — occupation and location both corroborate, and the practice itself abbreviates to DVRA."
DWT,expand,DAVIS WRIGHT TREMAINE,high,,"https://en.wikipedia.org/wiki/Davis_Wright_Tremaine — Davis Wright Tremaine LLP, abbreviated DWT, headquartered in Seattle, Washington",Resolved HQ Seattle matches exactly and the LAWYER occupation in Los Angeles fits a firm with a large LA office.
EGRS,expand,EDELSTEIN GILBERT ROBSON & SMITH,high,,https://www.egrslobby.com/who-we-are,"A LEGISLATIVE ADVOCATE donor in Carmichael, CA (Sacramento suburb) matches this top-ranked Sacramento lobbying firm, whose own domain is egrslobby.com."
EJDC,expand,EIGHTH JUDICIAL DISTRICT COURT,high,,https://www.clarkcountycourts.us/departments/district-court/,"Clark County courts site confirms the Eighth Judicial District Court of Nevada, seated in Las Vegas; donor is an INTERPRETER in Las Vegas, NV — court interpreting is a standard role there, corroborating both occupation and place."
ERNEST,expand,ERNEST PACKAGING SOLUTIONS,medium,,"https://www.ernestpackaging.com/about-us/ - 'Ernest Packaging Solutions', packaging/supply chain, Los Angeles CA, founded 1946 as Ernest Paper Products","Company site confirms Ernest Packaging Solutions is an LA-based family packaging firm, and the donor's Commerce CA location is exactly where Ernest is headquartered, corroborating it over any personal-name reading."
EXTELL,expand,EXTELL DEVELOPMENT COMPANY,medium,,https://extell.com/,"EVP FINANCE and LAWYER donors in New York, NY and Cedarhurst, NY with a New York HQ match Gary Barnett's NYC developer; adding 'Development Company' makes the coined name intelligible without displacing its trading name."
FASB,expand,FINANCIAL ACCOUNTING STANDARDS BOARD,high,,"https://en.wikipedia.org/wiki/Financial_Accounting_Standards_Board — based in Norwalk, Connecticut","BANKER occupation plus a Norwalk, CT resolved_hq exactly matches FASB's headquarters city, a distinctive corroboration."
FCA,expand,FIAT CHRYSLER AUTOMOBILES,high,,"https://en.wikipedia.org/wiki/Fiat_Chrysler_Automobiles — FCA US LLC, 1000 Chrysler Dr, Auburn Hills MI","FCA is opaque and collides with many other acronyms, but the Auburn Hills MI HQ plus ENGINEER donors in Ann Arbor, Farmington Hills and West Bloomfield MI pin it unambiguously to the automaker."
FDD,expand,FOUNDATION FOR DEFENSE OF DEMOCRACIES,high,,https://www.fdd.org/about-fdd/,"Washington DC donor plus CEO/DEVELOPMENT/FUNDRAISER occupations match the DC think tank's staffing profile, and its pro-Israel foreign-policy focus fits the donor population of these PACs."
FHLBSF,expand,FEDERAL HOME LOAN BANK OF SAN FRANCISCO,high,,https://en.wikipedia.org/wiki/Federal_Home_Loan_Banks — San Francisco is one of the 11 FHLBank districts; fhlbsf.com is its domain,"RISK MANAGEMENT occupation in Moraga, CA (SF Bay Area) with a San Francisco resolved_hq matches the FHLBank of San Francisco precisely."
FHPS,expand,FOREST HILLS PUBLIC SCHOOLS,high,,https://www.fhps.net/,"Donor is a TEACHER in Grand Rapids, MI; official district site confirms Forest Hills Public Schools at 620 Forest Hill Ave SE, Grand Rapids, MI — occupation and city both corroborate."
FIDF,expand,FRIENDS OF THE ISRAEL DEFENSE FORCES,high,,"https://www.fidf.org/ and https://en.wikipedia.org/wiki/Friends_of_the_Israel_Defense_Forces — Friends of the Israel Defense Forces (FIDF), US 501(c)(3), New York NY","Donors include a COMMUNITY ENGAGEMENT role across Baltimore MD, Teaneck NJ and West Hempstead NY — all major Jewish communities where FIDF has chapters — which corroborates the national FIDF organization in this pro-Israel PAC donor dataset."
FIDM,expand,FASHION INSTITUTE OF DESIGN & MERCHANDISING,high,,https://en.wikipedia.org/wiki/Fashion_Institute_of_Design_%26_Merchandising (downtown LA; closed March 2025),"FIDM is the Fashion Institute of Design & Merchandising, headquartered in downtown Los Angeles — matches resolved_hq; a retired Marina del Rey donor fits a local LA institution."
FINRA,expand,FINANCIAL INDUSTRY REGULATORY AUTHORITY,high,,https://www.finra.org/about/locations,"A Washington, DC HQ and a Potomac, MD donor match FINRA's K Street headquarters and its DC-area workforce; the acronym is opaque to a general reader."
FJECC,expand,FRANCES JACOBSON EARLY CHILDHOOD CENTER,high,,"https://fjecc.org/ — The Frances Jacobson Early Childhood Center at Temple Israel, Boston","Opaque acronym; the school sits between Boston/Brookline/Chestnut Hill, matching the donor's Chestnut Hill MA location."
FMR,expand,FIDELITY INVESTMENTS,high,,"https://en.wikipedia.org/wiki/Fidelity_Investments - 'FMR LLC becoming the owning entity', HQ 245 Summer Street, Boston MA","FMR LLC is Fidelity's parent entity; donor is RETIRED in Newton MA (a Boston suburb) with resolved HQ Boston MA, matching Fidelity's 245 Summer Street headquarters. 'Fidelity Investments' is the common public name preferred over the legal name FMR LLC."
FNF,expand,FIDELITY NATIONAL FINANCIAL,medium,,https://www.fnf.com/,"FNF is the ticker and self-branding of Fidelity National Financial, HQ 601 Riverside Ave Jacksonville FL, matching the resolved HQ; the CA donor location is unconfirmed so corroboration rests on the HQ match."
FPF,expand,FUTURE OF PRIVACY FORUM,high,,"https://fpf.org/about/ - 'Future of Privacy Forum', offices in Washington, Brussels and Singapore","Donor is POLICY COUNSEL in Washington DC, matching the Future of Privacy Forum's DC office and its privacy-policy legal staffing - the occupation and city together corroborate it."
FPL,expand,FLORIDA POWER & LIGHT,high,,"https://en.wikipedia.org/wiki/Florida_Power_%26_Light - 'Florida Power & Light Company', HQ 700 Universe Boulevard, Juno Beach FL","Resolved HQ Juno Beach FL matches Florida Power & Light's headquarters exactly, and the RETIRED donor lives in Miami Beach FL inside FPL's service territory."
FRISCH,expand,THE FRISCH SCHOOL,medium,,https://frisch.org/,"DIRECTOR OF OPERATIONS donors in Englewood, NJ with a Paramus, NJ HQ match the Paramus Jewish day school serving the adjacent Bergen County community; the bare surname would otherwise read as a person."
FTI,expand,FTI CONSULTING,high,,"https://en.wikipedia.org/wiki/FTI_Consulting — FTI Consulting, Inc., HQ Washington, D.C.","CONSULTANT and FINANCIAL occupations with a Washington, DC resolved_hq match FTI Consulting; the bare initials read as nothing to a general audience."
GBMC,expand,GREATER BALTIMORE MEDICAL CENTER,high,,https://www.gbmc.org/about-gbmc ; https://en.wikipedia.org/wiki/Greater_Baltimore_Medical_Center,"Search confirms GBMC = Greater Baltimore Medical Center; the donor is a FAMILY PHYSICIAN in Baltimore MD and the hq is in the Baltimore area, corroborating exactly."
GNTC,expand,GEORGIA NORTHWESTERN TECHNICAL COLLEGE,high,,https://en.wikipedia.org/wiki/Georgia_Northwestern_Technical_College - campuses in Ringgold/Catoosa County adjacent to Chattanooga TN,"Donor is a COLLEGE INSTRUCTOR in Chattanooga TN; GNTC's Catoosa County campus sits in the county adjacent to Chattanooga, making it the clear employer."
GOODMANS,expand,GOODMANS INTERIOR STRUCTURES,medium,,"https://www.goodmans.com/ — Goodmans Interior Structures, 1400 E Indian School Rd, Phoenix, AZ","CEO donor in Paradise Valley, AZ is a Phoenix suburb matching Goodmans' HQ; expanding tells the reader it is a commercial interiors dealer, not a generic surname."
GPSN,expand,GREAT PUBLIC SCHOOLS NOW,high,,https://ballotpedia.org/Great_Public_Schools_Now ; https://www.guidestar.org/profile/47-4962715,"GPSN is Great Public Schools Now, a Los Angeles education nonprofit founded 2015; LA HQ and EVP / managing director donors in Los Angeles corroborate exactly."
GSU,expand,GEORGIA STATE UNIVERSITY,medium,,"https://www.gsu.edu/ — lists Atlanta, Decatur, Clarkston, Dunwoody and other metro campuses; uses ""GSU"" throughout","Georgia State University abbreviates itself GSU and operates a dedicated Decatur campus in the Atlanta metro, directly corroborating the TEACHER donor located in Decatur GA."
GUHSD,expand,GROSSMONT UNION HIGH SCHOOL DISTRICT,high,,"https://www.guhsd.net/ — 'Grossmont Union High School District', 1100 Murray Drive, El Cajon, CA 92020","Official district site confirms the name and El Cajon, CA location, which matches resolved_hq exactly, and the SUBSTITUTE TEACHER donor in San Diego, CA corroborates a school district employer."
GW&K,expand,GW&K INVESTMENT MANAGEMENT,high,,"https://www.gwkinvest.com/ and https://adviserinfo.sec.gov/firm/summary/121942 — GW&K Investment Management, LLC (formerly Gannett Welsh & Kotler), 222 Berkeley St, Boston MA",Boston HQ and a Brookline MA donor whose occupation is CHAIRMAN AND FOUNDER / INVESTMENT ADVISOR corroborate the Boston investment manager; keeping the firm's own 'GW&K' styling plus 'Investment Management' rather than the retired Gannett Welsh & Kotler legal name.
HAMMOND,expand,HAMMOND RESIDENTIAL REAL ESTATE,medium,,https://www.hammondre.com/ and https://www.yelp.com/biz/hammond-residential-real-estate-newton,"REALTOR / REAL ESTATE donor in Waban, MA (a Newton village) matches Hammond Residential Real Estate, the dominant Newton-Brookline-Chestnut Hill brokerage; the bare surname is ambiguous on a dashboard."
HCC,expand,HOWARD COMMUNITY COLLEGE,high,,"https://www.howardcc.edu/ and https://en.wikipedia.org/wiki/Howard_Community_College — Howard Community College (HCC), a public community college in Columbia, Maryland","Donor is an EDUCATOR living in Columbia MD, which is exactly where Howard Community College sits — occupation and city corroborate it; note the AI-resolved Houston TX HQ is wrong (it picked Houston Community College)."
HEWLETT,expand,WILLIAM AND FLORA HEWLETT FOUNDATION,medium,,"https://hewlett.org/about-us/ - 'William and Flora Hewlett Foundation', based in the Bay Area, wholly independent of HP/HPE","Foundation site confirms the full name and Bay Area base, and the PHILANTHROPY occupation in San Francisco CA plus Palo Alto CA resolved_hq corroborate the foundation rather than Hewlett-Packard; medium because bare 'HEWLETT' could still read as the HP lineage."
HHCMG,expand,HARTFORD HEALTHCARE MEDICAL GROUP,high,,"https://npiregistry.cms.hhs.gov/api/?version=2.1&organization_name=Hartford%20HealthCare%20Medical%20Group - NPI 1043561301, 1290 Silas Deane Hwy, Wethersfield CT","NPI registry confirms HARTFORD HEALTHCARE MEDICAL GROUP, INC, a multi-specialty group in Wethersfield CT; donor is a PHYSICIAN in West Hartford CT, corroborating the Connecticut health system (the ai-resolved Kansas City HQ is wrong)."
HIGHTOWER,expand,HIGHTOWER ADVISORS,high,,"https://hightoweradvisors.com/ and https://en.wikipedia.org/wiki/Hightower_Advisors — Hightower Advisors, wealth management firm headquartered in Chicago IL","Resolved HQ Chicago IL and a FINANCE donor match the Chicago RIA exactly; 'Hightower' alone is ambiguous with unrelated Hightower brands, so adding 'Advisors' makes the employer intelligible."
HILLEL,expand,HILLEL INTERNATIONAL,high,,"https://en.wikipedia.org/wiki/Hillel_International — ""Hillel: The Foundation for Jewish Campus Life"", HQ Washington, D.C.","DIRECTOR and EXECUTIVE donors in Columbus, OH and Washington, DC with a Washington, DC resolved_hq match the national Jewish campus organization headquartered there."
HMFP,expand,HARVARD MEDICAL FACULTY PHYSICIANS,high,,http://hmfphysicians.org/,"The organization's own site confirms HMFP is Harvard Medical Faculty Physicians, the Boston-based physician group for Beth Israel Deaconess; the donor is a PHYSICIAN in Newton Center MA, a Boston suburb."
HMH,expand,HACKENSACK MERIDIAN HEALTH,medium,,"https://www.hackensackmeridianhealth.org/ — full name Hackensack Meridian Health, Inc., abbreviated HMH, operating throughout New Jersey","PHYSICIAN donor in Englewood NJ corroborates New Jersey's largest hospital network; medium because the AI-resolved HQ (Boston) instead points at the rival HMH, Houghton Mifflin Harcourt."
HOCS,expand,HOCS CONSULTING,medium,,"https://hocs.com/ and https://hocs.com/about-us/the-experts/ (vCIO role listed) via WebSearch ""HOCS Consulting IT vCIO Maryland managed services""","HOCS Consulting is a managed-IT provider whose staff hold vCIO titles — the donors' occupations are literally IT and VCIO, and their Potomac MD / Silver Spring MD locations fit its nationwide service footprint. HOCS itself has no published word expansion, so the gain is only marking it as a consulting firm."
HPE,expand,HEWLETT PACKARD ENTERPRISE,high,,https://en.wikipedia.org/wiki/Hewlett_Packard_Enterprise,HPE is an initialism for Hewlett Packard Enterprise Company; Spring TX HQ matches the row exactly and the donor is in SALES — the full name is materially more readable to a dashboard visitor.
