hid,employer_name,final_verdict,reason,source_url
98,MB DAVIS GROUP,home,Source article says HQ moved to Austin but never shows 3920 N Hills Dr; no page confirms the street.,https://mbdgrp.com/mbd-group-moves-to-austin-tx/
67,GLOBAL PHOTONICS,premises,"Global Photonics' contact page (archived) lists 7826 Photonics Drive, Trinity; the site describes a ~50,000 sq ft optics plant in Trinity.",https://web.archive.org/web/2024/https://www.globalphotonics.com/contact-us/
108,OPC POLYMERS,premises,"Company's contact page (archived) lists its plant/office at 1920 Leonard Avenue, Columbus.",https://web.archive.org/web/2025/https://www.opcpolymers.com/contact/
109,PARKWAY CORPORATION,premises,"Company's contact page (archived) lists 150 North Broad Street, Philadelphia.",https://web.archive.org/web/2025/https://www.parkwaycorp.com/contact-us
103,MORTON FRIDMAN MD,home,"The medical practice's own site (archived) gives 826 Winthrop Rd, Teaneck as its patient office. | lead: not confirmed as business-only premises, strict rule applied",https://web.archive.org/web/2024/https://www.mortfridmanmd.com/
111,PHARMACY BENEFIT CONSULTANTS,home,Company site shows no street address; nothing confirms an office at 7 Arborview Way.,https://pharmacybenefitconsultants.com/
107,NOVA CONSULTING,premises,"Firm's contact page (archived) lists its Miami-Dade office at 10486 NW 31st Terrace, Doral, among several offices.",https://web.archive.org/web/2023/https://nova-consulting.com/contact-us/
46,CAMPUS APARTMENTS,premises,"Company's about page (archived) lists its headquarters at 4043 Walnut Street, Philadelphia (commercial office at 41st & Walnut).",https://web.archive.org/web/2024/https://www.campusapartments.com/about-campus-apts/
124,SHADER BROTHERS CORP,premises,"Company's contact page (archived) lists its storage-management office at 6327 Edgewater Dr, Orlando.",https://web.archive.org/web/2024/http://www.shaderbrothers.com:80/contact.php
125,SHANNON FABRICS,premises,Company's about page (archived) lists 3131 South Alameda Street in the LA fabric/industrial district.,https://web.archive.org/web/2024/http://www.shannonfabrics.com:80/about-us
146,WEBSTER LOCK CO,premises,"Company's own site lists its lock/hardware shop at 2471 Webster Avenue, Bronx.",https://websterlock.com/
122,SCHOENBERG MEMORIAL CHAPEL,premises,"Funeral chapel's own location page maps 519 Philadelphia Pike, Wilmington.",https://www.schoenbergmemorial.com/our-location
144,US STANDARD PRODUCTS,premises,"Chamber member listing places this manufacturer at 41 Honeck St, Englewood's industrial district.",https://business.nnjchamber.com/list/member/us-standard-products-englewood-333
13,ALL ACCESS APPAREL,home,No page reachable shows the business at 1515 Gage Rd (archived site gives only an email); not confirmed.,https://www.importyeti.com/company/all-access-apparel
31,ASPHALT ANCHORS CORP,home,"Only the company's own site gives 10 Ridge Rd, West Orange; nothing shows a commercial building there, so not confident.",https://www.thomasnet.com/company/asphalt-anchors-10082234/profile
45,CAMELOT BIOCAPITAL,home,Company's contact page shows no street address; 1100 Holland Dr not confirmed.,https://camelotbiocapital.com/contact
93,LIPSEY'S,premises,"Lipsey's own brand site lists its contact address as 7277 Exchequer Drive, Baton Rouge with phone/fax (large firearms distributor).",https://lipseysguns.com/contact/
113,PREMIER DENTAL PRODUCTS COMPANY,premises,"Company's own contact page lists 1710 Romano Drive, Plymouth Meeting (corporate HQ).",https://www.premierdentalco.com/contact
129,SONCO,home,No reachable page shows SONCO itself at 2050 E Devon Ave (the Loopnet source was blocked and the company site shows no address); not confirmed.,https://www.loopnet.com/property/2050-e-devon-ave-elk-grove-village-il-60007/17031-08353010520000/
1,50 EIGHTH AVENUE TENANTS CORP,home,"The co-op corporation's own name is its building address (a tenants' corporation owning the 50 Eighth Ave building), so the street reveals nothing beyond the employer name; source page (StreetEasy) was blocked, so no independent page confirmed it. | lead: not confirmed as business-only premises, strict rule applied",https://streeteasy.com/building/50-8-avenue-brooklyn
23,ANHALT REALTY LLC,premises,"The brokerage's own website (archived) gives its office as 240 Grand Ave, Englewood NJ, a commercial avenue.",https://web.archive.org/web/2024/https://www.anhaltrealestate.com/
7,ADVOCATE BROKERAGE CORP,home,Source page (Cross Private Client Scarsdale location) is blocked (403) and no archive exists; 820 Scarsdale Ave could not be confirmed.,https://www.crossprivateclient.com/locations/scarsdale-new-york/
14,ALLAN WISER INSURANCE,home,Only a Superpages directory listing shows 4809 Sparks Ave; the agency's own site could not be reached and nothing shows a commercial office.,https://www.superpages.com/san-diego-ca/bpp/allan-wiser-insurance-services-inc-1687249
19,AMERICAN FINDINGS CORP,home,Only a Yellow Pages directory listing (as Paradise Valley) shows 10441 N Scottsdale Rd; no business site confirms a storefront.,https://www.yellowpages.com/paradise-valley-az/mip/american-findings-corp-496627065
20,AMERICAN NITRILE,home,The company's site and news confirm a Grove City glove plant but no reachable page shows the street 3500 Southwest Blvd.,https://rubberworld.com/american-nitrile-to-build-nitrile-glove-factory-in-grove-city-ohio/
42,BRIAN DROR CPA INC,home,"The cited CPA directory actually gives a different office (5967 W 3rd St Ste 102), not 5862 W 3rd St.",http://www.cpapublic.com/California/Los-Angeles/0c8/Brian-Dror-Inc.html
77,HOME EXPRESSIONS INC,home,The D&B source is blocked and no company site or archive was found to confirm 195 Raritan Center Pkwy.,https://www.dnb.com/business-directory/company-profiles.home_expressions_inc.6ac96d6d74ae7f0787d74591acfa71f9.html
106,NATIONAL LUMBER COMPANY,home,The Yelp source is blocked and the company site is unreachable; 4901 Pulaski Hwy not confirmed.,https://www.yelp.com/biz/national-lumber-co-and-true-value-baltimore
110,PASSION GROWERS,home,The D&B source is blocked and the company site is unreachable; 7499 NW 31 St not confirmed.,https://www.dnb.com/business-directory/company-profiles.passion_growers_llc.17d476bc59cda244303dabdc6d8e9bac.html
136,THE ROBERTS COMPANIES,home,The BBB source is blocked and no company page or archive was found to confirm 2886 Colorado Ave.,https://www.bbb.org/us/ca/santa-monica/profile/apartments/the-roberts-companies-1216-13069591
141,TRUCK FAX INC,home,Only a D&B directory record (blocked); nothing shows a business premises at 17700 S Woodland Rd.,https://www.dnb.com/business-directory/company-profiles.truck_fax_inc.b8087849ccbeb9d1a3667402b19ecf42.html
148,WOLMAN WEALTH MANAGEMENT,home,Only a D&B directory record (blocked); no company site confirms 4208 Overland Ave.,https://www.dnb.com/business-directory/company-profiles.wolman_wealth_management_inc.9f4995245783fa9112db167bbaa18bcc.html
68,GOLD AND COMPANY,home,"The LoopNet source is blocked with no archive, and the company domain is parked; 5601 Newbury St not confirmed.",https://www.loopnet.com/company/gold-and-company-llc/baltimore-md/0vt3xx1l/
